datetime,open,high,low,close,volume
2024-01-02 09:15:00+05:30,24499.05917939707,24501.3764457544,24498.05917939707,24500.3764457544,3827
2024-01-02 09:16:00+05:30,24500.3764457544,24514.484526373457,24497.81483983107,24510.694552306722,2137
2024-01-02 09:17:00+05:30,24510.694552306722,24523.807313598503,24500.695393158687,24519.99996039612,3102
2024-01-02 09:18:00+05:30,24519.99996039612,24529.57948726267,24508.596071667205,24516.29265732021,1299
2024-01-02 09:19:00+05:30,24516.29265732021,24525.360954715317,24506.394543359704,24514.177885986912,2593
2024-01-02 09:20:00+05:30,24514.177885986912,24525.140675230497,24507.831659601292,24510.342504539163,2316
2024-01-02 09:21:00+05:30,24510.342504539163,24524.533453053587,24499.54369137245,24514.73545222095,2971
2024-01-02 09:22:00+05:30,24514.73545222095,24520.947618780636,24509.66163999402,24514.434968928108,1984
2024-01-02 09:23:00+05:30,24514.434968928108,24523.489355773167,24506.970212239085,24520.15661105003,1130
2024-01-02 09:24:00+05:30,24520.15661105003,24531.061331736553,24499.035420849817,24506.42167505773,2059
2024-01-02 09:25:00+05:30,24506.42167505773,24527.246222160804,24495.320896717287,24518.290790867974,3576
2024-01-02 09:26:00+05:30,24518.290790867974,24526.05454474813,24509.67339001489,24517.687549666807,3368
2024-01-02 09:27:00+05:30,24517.687549666807,24531.729080298937,24505.773973281845,24522.910388066364,3588
2024-01-02 09:28:00+05:30,24522.910388066364,24528.761837972917,24517.684689494145,24522.006140561538,2885
2024-01-02 09:29:00+05:30,24522.006140561538,24527.438941872137,24510.661194447228,24519.282901308474,2353
2024-01-02 09:30:00+05:30,24519.282901308474,24530.630614050082,24511.514611469447,24522.876227497956,2976
2024-01-02 09:31:00+05:30,24522.876227497956,24536.00755132022,24515.740868419547,24529.180078954432,3316
2024-01-02 09:32:00+05:30,24529.180078954432,24538.269776521047,24519.50489758432,24527.781104924234,2888
2024-01-02 09:33:00+05:30,24527.781104924234,24539.14203637427,24519.249276717335,24526.755208584957,1098
2024-01-02 09:34:00+05:30,24526.755208584957,24542.490896505547,24521.38687921551,24532.017948166023,1253
2024-01-02 09:35:00+05:30,24532.017948166023,24537.89265253493,24517.19460160513,24525.61039335142,2188
2024-01-02 09:36:00+05:30,24525.61039335142,24531.335159865648,24511.538601826396,24514.372517073436,986
2024-01-02 09:37:00+05:30,24514.372517073436,24528.723203734568,24507.582322808805,24517.454881044057,1936
2024-01-02 09:38:00+05:30,24517.454881044057,24523.401100136896,24506.017419348074,24512.5456373664,2064
2024-01-02 09:39:00+05:30,24512.5456373664,24522.548027221597,24494.130779238207,24498.263082940513,3105
2024-01-02 09:40:00+05:30,24498.263082940513,24501.190502037556,24484.596797727652,24492.277680460924,3519
2024-01-02 09:41:00+05:30,24492.277680460924,24498.788759628493,24480.191505563664,24488.890698769228,2402
2024-01-02 09:42:00+05:30,24488.890698769228,24496.053085461,24476.811548018224,24480.061680188486,2875
2024-01-02 09:43:00+05:30,24480.061680188486,24490.150062157853,24464.01837556727,24468.98820105801,3091
2024-01-02 09:44:00+05:30,24468.98820105801,24480.15908627569,24466.36794963536,24469.382984760097,3332
2024-01-02 09:45:00+05:30,24469.382984760097,24479.758946455673,24461.41136161986,24476.232354185555,2173
2024-01-02 09:46:00+05:30,24476.232354185555,24484.403912379246,24471.787022489425,24474.603863600852,2791
2024-01-02 09:47:00+05:30,24474.603863600852,24482.895259381672,24464.85287532006,24469.146893379537,1321
2024-01-02 09:48:00+05:30,24469.146893379537,24475.66974920403,24462.6682408657,24472.154346945146,3309
2024-01-02 09:49:00+05:30,24472.154346945146,24487.98933507877,24465.636932725014,24477.653615499104,2949
2024-01-02 09:50:00+05:30,24477.653615499104,24485.188251781507,24473.193667666525,24475.52353601044,3987
2024-01-02 09:51:00+05:30,24475.52353601044,24491.345708717094,24464.050279281902,24479.728544569847,3695
2024-01-02 09:52:00+05:30,24479.728544569847,24491.53322348263,24475.42819806275,24487.67011064422,3082
2024-01-02 09:53:00+05:30,24487.67011064422,24494.919811669388,24478.138224963637,24486.237937372658,906
2024-01-02 09:54:00+05:30,24486.237937372658,24491.472454662602,24476.03450325215,24480.256570807796,3557
2024-01-02 09:55:00+05:30,24480.256570807796,24491.40870096951,24472.298813744284,24482.98395029666,2653
2024-01-02 09:56:00+05:30,24482.98395029666,24493.041289726694,24477.456479863296,24484.96054335388,3913
2024-01-02 09:57:00+05:30,24484.96054335388,24500.4459075586,24479.77467880839,24493.32163911699,1766
2024-01-02 09:58:00+05:30,24493.32163911699,24498.570201997118,24477.063301324146,24483.80728327595,3169
2024-01-02 09:59:00+05:30,24483.80728327595,24490.846716305496,24471.101991909403,24478.965186298283,1237
2024-01-02 10:00:00+05:30,24478.965186298283,24484.68774513116,24464.817078954795,24472.798934092916,3401
2024-01-02 10:01:00+05:30,24472.798934092916,24483.706735075615,24451.02883591454,24459.91382274617,2188
2024-01-02 10:02:00+05:30,24459.91382274617,24467.59731541833,24455.22796254512,24460.982081910148,1051
2024-01-02 10:03:00+05:30,24460.982081910148,24471.812949100324,24458.06605640626,24465.060613503865,2463
2024-01-02 10:04:00+05:30,24465.060613503865,24469.646203627,24455.106176377234,24459.639688267795,916
2024-01-02 10:05:00+05:30,24459.639688267795,24474.690393390207,24454.3726846052,24470.152041326517,2316
2024-01-02 10:06:00+05:30,24470.152041326517,24487.97534977422,24462.078304369345,24476.43647385147,3754
2024-01-02 10:07:00+05:30,24476.43647385147,24486.40183961375,24470.292627209386,24481.261797442738,1789
2024-01-02 10:08:00+05:30,24481.261797442738,24495.078017081032,24476.149179789965,24484.394600628544,1560
2024-01-02 10:09:00+05:30,24484.394600628544,24499.62988997249,24481.411170915202,24491.682122361908,2726
2024-01-02 10:10:00+05:30,24491.682122361908,24503.487319200667,24473.845891299672,24481.812273565334,1777
2024-01-02 10:11:00+05:30,24481.812273565334,24490.17749183583,24478.712526315416,24486.53674600221,1334
2024-01-02 10:12:00+05:30,24486.53674600221,24502.593311459765,24479.367796109607,24491.17757225371,1232
2024-01-02 10:13:00+05:30,24491.17757225371,24500.902269488673,24469.15608436548,24478.039682925137,1458
2024-01-02 10:14:00+05:30,24478.039682925137,24488.442530688193,24469.808700181427,24480.762408690545,2830
2024-01-02 10:15:00+05:30,24480.762408690545,24489.850974486246,24475.40703355898,24479.00424859022,1682
2024-01-02 10:16:00+05:30,24479.00424859022,24494.210030600516,24473.444633370527,24484.985668810685,894
2024-01-02 10:17:00+05:30,24484.985668810685,24491.469511712938,24470.403360691824,24481.8127024034,3798
2024-01-02 10:18:00+05:30,24481.8127024034,24490.157483999614,24478.888162619045,24481.795895971034,3357
2024-01-02 10:19:00+05:30,24481.795895971034,24488.772882928217,24473.00829637936,24484.487282350914,1454
2024-01-02 10:20:00+05:30,24484.487282350914,24486.70088390234,24471.67124969378,24478.035319685332,1754
2024-01-02 10:21:00+05:30,24478.035319685332,24491.409851898396,24469.90029290663,24482.644794546686,1128
2024-01-02 10:22:00+05:30,24482.644794546686,24489.389364772152,24476.04037260482,24481.97757063276,3180
2024-01-02 10:23:00+05:30,24481.97757063276,24496.846846208868,24478.739716438653,24485.791190310352,2787
2024-01-02 10:24:00+05:30,24485.791190310352,24490.43156641026,24474.37345744766,24481.997409012827,3714
2024-01-02 10:25:00+05:30,24481.997409012827,24500.443531998168,24479.93635304632,24490.263920587407,890
2024-01-02 10:26:00+05:30,24490.263920587407,24506.786209306036,24479.623458897757,24494.92293542563,3008
2024-01-02 10:27:00+05:30,24494.92293542563,24505.903764013852,24483.72032032498,24493.707747740234,1287
